Word,PosTag,NamedEntity,PreviousPosTag,PreviousWord,NextPosTag,NextWord
only,RB,O,VBD,was,DT,a
a,DT,O,RB,only,JJ,slight
slight,JJ,O,DT,a,NN,risk
risk,NN,O,JJ,slight,TO,to
to,TO,O,NN,risk,JJ,human
human,JJ,O,TO,to,NN,health
health,NN,O,JJ,human,.,.
.,.,O,NN,health,None,None
Spanish,NNP,I-MISC,None,None,NNP,Farm
Farm,NNP,O,NNP,Spanish,NNP,Minister
Minister,NNP,O,NNP,Farm,NNP,Loyola
Loyola,NNP,I-PER,NNP,Minister,NNP,de
de,NNP,I-PER,NNP,Loyola,NNP,Palacio
Palacio,NNP,I-PER,NNP,de,VBD,had
had,VBD,O,NNP,Palacio,RBR,earlier
earlier,RBR,O,VBD,had,VBN,accused
accused,VBN,O,RBR,earlier,NNP,Fischler
Fischler,NNP,I-PER,VBN,accused,IN,at
at,IN,O,NNP,Fischler,DT,an
an,DT,O,IN,at,JJ,EU
EU,JJ,I-ORG,DT,an,NN,farm
farm,NN,O,JJ,EU,NNS,ministers
ministers,NNS,O,NN,farm,POS,'
',POS,O,NNS,ministers,NN,meeting
meeting,NN,O,POS,',IN,of
of,IN,O,NN,meeting,VBG,causing
causing,VBG,O,IN,of,JJ,unjustified
unjustified,JJ,O,VBG,causing,NN,alarm
alarm,NN,O,JJ,unjustified,IN,through
through,IN,O,NN,alarm,"""",""""
"""","""",O,IN,through,JJ,dangerous
dangerous,JJ,O,"""","""",NN,generalisation
generalisation,NN,O,JJ,dangerous,.,.
.,.,O,NN,generalisation,"""",""""
"""","""",O,.,.,None,None
.,.,O,.,.,None,None
Only,RB,O,None,None,NNP,France
France,NNP,I-LOC,RB,Only,CC,and
and,CC,O,NNP,France,NNP,Britain
Britain,NNP,I-LOC,CC,and,VBD,backed
backed,VBD,O,NNP,Britain,NNP,Fischler
Fischler,NNP,I-PER,VBD,backed,POS,'s
's,POS,O,NNP,Fischler,NN,proposal
proposal,NN,O,POS,'s,.,.
.,.,O,NN,proposal,None,None
The,DT,O,None,None,NNP,EU
EU,NNP,I-ORG,DT,The,POS,'s
's,POS,O,NNP,EU,JJ,scientific
scientific,JJ,O,POS,'s,JJ,veterinary
veterinary,JJ,O,JJ,scientific,CC,and
and,CC,O,JJ,veterinary,JJ,multidisciplinary
multidisciplinary,JJ,O,CC,and,NNS,committees
committees,NNS,O,JJ,multidisciplinary,VBP,are
are,VBP,O,NNS,committees,JJ,due
due,JJ,O,VBP,are,TO,to
to,TO,O,JJ,due,VB,re-examine
re-examine,VB,O,TO,to,DT,the
the,DT,O,VB,re-examine,NN,issue
issue,NN,O,DT,the,RB,early
early,RB,O,NN,issue,JJ,next
next,JJ,O,RB,early,NN,month
month,NN,O,JJ,next,CC,and
and,CC,O,NN,month,VB,make
make,VB,O,CC,and,NNS,recommendations
recommendations,NNS,O,VB,make,TO,to
to,TO,O,NNS,recommendations,DT,the
the,DT,O,TO,to,JJ,senior
senior,JJ,O,DT,the,JJ,veterinary
veterinary,JJ,O,JJ,senior,NNS,officials
officials,NNS,O,JJ,veterinary,.,.
.,.,O,NNS,officials,None,None
Sheep,NNP,O,None,None,VBP,have
have,VBP,O,NNP,Sheep,RB,long
long,RB,O,VBP,have,VBN,been
been,VBN,O,RB,long,VBN,known
known,VBN,O,VBN,been,TO,to
to,TO,O,VBN,known,NN,contract
contract,NN,O,TO,to,NN,scrapie
scrapie,NN,O,NN,contract,",",","
",",",",O,NN,scrapie,DT,a
a,DT,O,",",",",JJ,brain-wasting
brain-wasting,JJ,O,DT,a,NN,disease
disease,NN,O,JJ,brain-wasting,JJ,similar
similar,JJ,O,NN,disease,TO,to
to,TO,O,JJ,similar,NNP,BSE
BSE,NNP,I-MISC,TO,to,WDT,which
which,WDT,O,NNP,BSE,VBZ,is
is,VBZ,O,WDT,which,VBN,believed
believed,VBN,O,VBZ,is,TO,to
to,TO,O,VBN,believed,VB,have
have,VB,O,TO,to,VBN,been
been,VBN,O,VB,have,VBN,transferred
transferred,VBN,O,VBN,been,TO,to
to,TO,O,VBN,transferred,NNS,cattle
cattle,NNS,O,TO,to,IN,through
through,IN,O,NNS,cattle,NN,feed
feed,NN,O,IN,through,VBG,containing
containing,VBG,O,NN,feed,NN,animal
animal,NN,O,VBG,containing,NN,waste
waste,NN,O,NN,animal,.,.
.,.,O,NN,waste,None,None
British,JJ,I-MISC,None,None,NNS,farmers
farmers,NNS,O,JJ,British,VBN,denied
denied,VBN,O,NNS,farmers,IN,on
on,IN,O,VBN,denied,NNP,Thursday
Thursday,NNP,O,IN,on,EX,there
there,EX,O,NNP,Thursday,VBD,was
was,VBD,O,EX,there,DT,any
any,DT,O,VBD,was,NN,danger
danger,NN,O,DT,any,TO,to
to,TO,O,NN,danger,JJ,human
human,JJ,O,TO,to,NN,health
health,NN,O,JJ,human,IN,from
from,IN,O,NN,health,PRP$,their
their,PRP$,O,IN,from,NN,sheep
sheep,NN,O,PRP$,their,",",","
",",",",O,NN,sheep,CC,but
but,CC,O,",",",",VBD,expressed
expressed,VBD,O,CC,but,NN,concern
concern,NN,O,VBD,expressed,IN,that
that,IN,O,NN,concern,JJ,German
German,JJ,I-MISC,IN,that,NN,government
government,NN,O,JJ,German,NN,advice
advice,NN,O,NN,government,TO,to
to,TO,O,NN,advice,NNS,consumers
consumers,NNS,O,TO,to,TO,to
to,TO,O,NNS,consumers,VB,avoid
avoid,VB,O,TO,to,JJ,British
British,JJ,I-MISC,VB,avoid,NN,lamb
lamb,NN,O,JJ,British,MD,might
might,MD,O,NN,lamb,VB,influence
influence,VB,O,MD,might,NNS,consumers
consumers,NNS,O,VB,influence,IN,across
across,IN,O,NNS,consumers,NNP,Europe
Europe,NNP,I-LOC,IN,across,.,.
.,.,O,NNP,Europe,None,None
"""","""",O,None,None,WP,What
What,WP,O,"""","""",PRP,we
we,PRP,O,WP,What,VBP,have
have,VBP,O,PRP,we,TO,to
to,TO,O,VBP,have,VB,be
be,VB,O,TO,to,RB,extremely
extremely,RB,O,VB,be,JJ,careful
careful,JJ,O,RB,extremely,IN,of
of,IN,O,JJ,careful,VBZ,is
is,VBZ,O,IN,of,WRB,how
how,WRB,O,VBZ,is,JJ,other
other,JJ,O,WRB,how,NNS,countries
countries,NNS,O,JJ,other,VBP,are
are,VBP,O,NNS,countries,VBG,going
going,VBG,O,VBP,are,TO,to
to,TO,O,VBG,going,VB,take
take,VB,O,TO,to,NNP,Germany
Germany,NNP,I-LOC,VB,take,POS,'s
's,POS,O,NNP,Germany,NN,lead
lead,NN,O,POS,'s,",",","
",",",",O,NN,lead,"""",""""
"""","""",O,",",",",NNP,Welsh
Welsh,NNP,I-ORG,"""","""",NNP,National
National,NNP,I-ORG,NNP,Welsh,NNP,Farmers
Farmers,NNP,I-ORG,NNP,National,POS,'
',POS,I-ORG,NNP,Farmers,NNP,Union
Union,NNP,I-ORG,POS,',(,(
(,(,O,NNP,Union,NNP,NFU
NFU,NNP,I-ORG,(,(,),)
),),O,NNP,NFU,NN,chairman
chairman,NN,O,),),NNP,John
John,NNP,I-PER,NN,chairman,NNP,Lloyd
Lloyd,NNP,I-PER,NNP,John,NNP,Jones
Jones,NNP,I-PER,NNP,Lloyd,VBD,said
said,VBD,O,NNP,Jones,IN,on
on,IN,O,VBD,said,NNP,BBC
BBC,NNP,I-ORG,IN,on,NN,radio
radio,NN,I-ORG,NNP,BBC,.,.
.,.,O,NN,radio,None,None
Bonn,NNP,I-LOC,None,None,VBZ,has
has,VBZ,O,NNP,Bonn,VBN,led
led,VBN,O,VBZ,has,NNS,efforts
efforts,NNS,O,VBN,led,TO,to
to,TO,O,NNS,efforts,VB,protect
protect,VB,O,TO,to,JJ,public
public,JJ,O,VB,protect,NN,health
health,NN,O,JJ,public,IN,after
after,IN,O,NN,health,NN,consumer
consumer,NN,O,IN,after,NN,confidence
confidence,NN,O,NN,consumer,VBD,collapsed
collapsed,VBD,O,NN,confidence,IN,in
in,IN,O,VBD,collapsed,NNP,March
March,NNP,O,IN,in,IN,after
after,IN,O,NNP,March,DT,a
a,DT,O,IN,after,JJ,British
British,JJ,I-MISC,DT,a,NN,report
report,NN,O,JJ,British,VBD,suggested
suggested,VBD,O,NN,report,NNS,humans
humans,NNS,O,VBD,suggested,MD,could
could,MD,O,NNS,humans,VB,contract
contract,VB,O,MD,could,DT,an
an,DT,O,VB,contract,NN,illness
illness,NN,O,DT,an,JJ,similar
similar,JJ,O,NN,illness,TO,to
to,TO,O,JJ,similar,JJ,mad
mad,JJ,O,TO,to,NN,cow
cow,NN,O,JJ,mad,NN,disease
disease,NN,O,NN,cow,IN,by
by,IN,O,NN,disease,VBG,eating
eating,VBG,O,IN,by,VBN,contaminated
contaminated,VBN,O,VBG,eating,NN,beef
beef,NN,O,VBN,contaminated,.,.
.,.,O,NN,beef,None,None
Germany,NNP,I-LOC,None,None,VBD,imported
imported,VBD,O,NNP,Germany,CD,"47,600"
"47,600",CD,O,VBD,imported,NN,sheep
sheep,NN,O,CD,"47,600",IN,from
from,IN,O,NN,sheep,NNP,Britain
Britain,NNP,I-LOC,IN,from,JJ,last
last,JJ,O,NNP,Britain,NN,year
year,NN,O,JJ,last,",",","
",",",",O,NN,year,RB,nearly
nearly,RB,O,",",",",NN,half
half,NN,O,RB,nearly,IN,of
of,IN,O,NN,half,JJ,total
total,JJ,O,IN,of,NNS,imports
imports,NNS,O,JJ,total,.,.
.,.,O,NNS,imports,None,None
It,PRP,O,None,None,VBD,brought
brought,VBD,O,PRP,It,IN,in
in,IN,O,VBD,brought,CD,"4,275"
"4,275",CD,O,IN,in,NNS,tonnes
tonnes,NNS,O,CD,"4,275",IN,of
of,IN,O,NNS,tonnes,JJ,British
British,JJ,I-MISC,IN,of,NN,mutton
mutton,NN,O,JJ,British,",",","
",",",",O,NN,mutton,DT,some
some,DT,O,",",",",CD,10
10,CD,O,DT,some,NN,percent
percent,NN,O,CD,10,IN,of
of,IN,O,NN,percent,JJ,overall
overall,JJ,O,IN,of,NNS,imports
imports,NNS,O,JJ,overall,.,.
.,.,O,NNS,imports,None,None
-DOCSTART-,-X-,O,-X-,-DOCSTART-,None,None
Rare,NNP,O,None,None,NNP,Hendrix
Hendrix,NNP,I-PER,NNP,Rare,NN,song
song,NN,O,NNP,Hendrix,NN,draft
draft,NN,O,NN,song,VBZ,sells
sells,VBZ,O,NN,draft,IN,for
for,IN,O,VBZ,sells,RB,almost
almost,RB,O,IN,for,$,$
$,$,O,RB,almost,CD,"17,000"
"17,000",CD,O,$,$,.,.
.,.,O,CD,"17,000",None,None
LONDON,NNP,I-LOC,None,None,CD,1996-08-22
1996-08-22,CD,O,NNP,LONDON,None,None
A,DT,O,None,None,JJ,rare
rare,JJ,O,DT,A,JJ,early
early,JJ,O,JJ,rare,JJ,handwritten
handwritten,JJ,O,JJ,early,NN,draft
draft,NN,O,JJ,handwritten,IN,of
of,IN,O,NN,draft,DT,a
a,DT,O,IN,of,NN,song
song,NN,O,DT,a,IN,by
by,IN,O,NN,song,NNP,U.S.
U.S.,NNP,I-LOC,IN,by,NN,guitar
guitar,NN,O,NNP,U.S.,NN,legend
legend,NN,O,NN,guitar,NNP,Jimi
Jimi,NNP,I-PER,NN,legend,NNP,Hendrix
Hendrix,NNP,I-PER,NNP,Jimi,VBD,was
was,VBD,O,NNP,Hendrix,VBN,sold
sold,VBN,O,VBD,was,IN,for
for,IN,O,VBN,sold,RB,almost
almost,RB,O,IN,for,$,$
$,$,O,RB,almost,CD,"17,000"
"17,000",CD,O,$,$,IN,on
on,IN,O,CD,"17,000",NNP,Thursday
Thursday,NNP,O,IN,on,IN,at
at,IN,O,NNP,Thursday,DT,an
an,DT,O,IN,at,NN,auction
auction,NN,O,DT,an,IN,of
of,IN,O,NN,auction,DT,some
some,DT,O,IN,of,IN,of
of,IN,O,DT,some,DT,the
the,DT,O,IN,of,JJ,late
late,JJ,O,DT,the,NN,musician
musician,NN,O,JJ,late,POS,'s
's,POS,O,NN,musician,JJ,favourite
favourite,JJ,O,POS,'s,NNS,possessions
possessions,NNS,O,JJ,favourite,.,.
.,.,O,NNS,possessions,None,None
A,DT,O,None,None,NNP,Florida
Florida,NNP,I-LOC,DT,A,NN,restaurant
restaurant,NN,O,NNP,Florida,VBD,paid
paid,VBD,O,NN,restaurant,CD,"10,925"
"10,925",CD,O,VBD,paid,NNS,pounds
pounds,NNS,O,CD,"10,925",(,(
(,(,O,NNS,pounds,$,$
$,$,O,(,(,CD,"16,935"
"16,935",CD,O,$,$,),)
),),O,CD,"16,935",IN,for
for,IN,O,),),DT,the
the,DT,O,IN,for,NN,draft
draft,NN,O,DT,the,IN,of
of,IN,O,NN,draft,"""",""""
"""","""",O,IN,of,VBZ,Ai
Ai,VBZ,I-MISC,"""","""",RB,n't
n't,RB,I-MISC,VBZ,Ai,DT,no
no,DT,I-MISC,RB,n't,VBG,telling
telling,VBG,I-MISC,DT,no,"""",""""
"""","""",O,VBG,telling,",",","
",",",",O,"""","""",WDT,which
which,WDT,O,",",",",NNP,Hendrix
Hendrix,NNP,I-PER,WDT,which,VBN,penned
penned,VBN,O,NNP,Hendrix,IN,on
on,IN,O,VBN,penned,DT,a
a,DT,O,IN,on,NN,piece
piece,NN,O,DT,a,IN,of
of,IN,O,NN,piece,NNP,London
London,NNP,I-LOC,IN,of,NN,hotel
hotel,NN,O,NNP,London,NN,stationery
stationery,NN,O,NN,hotel,IN,in
in,IN,O,NN,stationery,JJ,late
late,JJ,O,IN,in,CD,1966
1966,CD,O,JJ,late,.,.
.,.,O,CD,1966,None,None
At,IN,O,None,None,DT,the
the,DT,O,IN,At,NN,end
end,NN,O,DT,the,IN,of
of,IN,O,NN,end,DT,a
a,DT,O,IN,of,NNP,January
January,NNP,O,DT,a,CD,1967
1967,CD,O,NNP,January,NN,concert
concert,NN,O,CD,1967,IN,in
in,IN,O,NN,concert,DT,the
the,DT,O,IN,in,JJ,English
English,JJ,I-MISC,DT,the,NN,city
city,NN,O,JJ,English,IN,of
of,IN,O,NN,city,NNP,Nottingham
Nottingham,NNP,I-LOC,IN,of,PRP,he
he,PRP,O,NNP,Nottingham,VBD,threw
threw,VBD,O,PRP,he,DT,the
the,DT,O,VBD,threw,NN,sheet
sheet,NN,O,DT,the,IN,of
of,IN,O,NN,sheet,NN,paper
paper,NN,O,IN,of,IN,into
into,IN,O,NN,paper,DT,the
the,DT,O,IN,into,NN,audience
audience,NN,O,DT,the,",",","
",",",",O,NN,audience,WRB,where
where,WRB,O,",",",",PRP,it
it,PRP,O,WRB,where,VBD,was
was,VBD,O,PRP,it,VBN,retrieved
retrieved,VBN,O,VBD,was,IN,by
by,IN,O,VBN,retrieved,DT,a
a,DT,O,IN,by,NN,fan
fan,NN,O,DT,a,.,.
.,.,O,NN,fan,None,None
Buyers,NNS,O,None,None,RB,also
also,RB,O,NNS,Buyers,VBD,snapped
snapped,VBD,O,RB,also,RB,up
up,RB,O,VBD,snapped,CD,16
16,CD,O,RB,up,JJ,other
other,JJ,O,CD,16,NNS,items
items,NNS,O,JJ,other,WDT,that
that,WDT,O,NNS,items,VBD,were
were,VBD,O,WDT,that,VBN,put
put,VBN,O,VBD,were,RP,up
up,RP,O,VBN,put,IN,for
for,IN,O,RP,up,NN,auction
auction,NN,O,IN,for,IN,by
by,IN,O,NN,auction,NNP,Hendrix
Hendrix,NNP,I-PER,IN,by,POS,'s
's,POS,O,NNP,Hendrix,JJ,former
former,JJ,O,POS,'s,NN,girlfriend
girlfriend,NN,O,JJ,former,NNP,Kathy
Kathy,NNP,I-PER,NN,girlfriend,NNP,Etchingham
Etchingham,NNP,I-PER,NNP,Kathy,",",","
",",",",O,NNP,Etchingham,WP,who
who,WP,O,",",",",VBD,lived
lived,VBD,O,WP,who,IN,with
with,IN,O,VBD,lived,PRP,him
him,PRP,O,IN,with,IN,from
from,IN,O,PRP,him,CD,1966
1966,CD,O,IN,from,TO,to
to,TO,O,CD,1966,CD,1969
1969,CD,O,TO,to,.,.
.,.,O,CD,1969,None,None
They,PRP,O,None,None,VBD,included
included,VBD,O,PRP,They,DT,a
a,DT,O,VBD,included,JJ,black
black,JJ,O,DT,a,NN,lacquer
lacquer,NN,O,JJ,black,CC,and
and,CC,O,NN,lacquer,NN,mother
mother,NN,O,CC,and,IN,of
of,IN,O,NN,mother,NN,pearl
pearl,NN,O,IN,of,VBD,inlaid
inlaid,VBD,O,NN,pearl,NN,box
box,NN,O,VBD,inlaid,VBN,used
used,VBN,O,NN,box,IN,by
by,IN,O,VBN,used,NNP,Hendrix
Hendrix,NNP,I-PER,IN,by,TO,to
to,TO,O,NNP,Hendrix,VB,store
store,VB,O,TO,to,PRP$,his
his,PRP$,O,VB,store,NNS,drugs
drugs,NNS,O,PRP$,his,",",","
",",",",O,NNS,drugs,WDT,which
which,WDT,O,",",",",DT,an
an,DT,O,WDT,which,JJ,anonymous
anonymous,JJ,O,DT,an,JJ,Australian
Australian,JJ,I-MISC,JJ,anonymous,NN,purchaser
purchaser,NN,O,JJ,Australian,VBD,bought
bought,VBD,O,NN,purchaser,IN,for
for,IN,O,VBD,bought,CD,"5,060"
"5,060",CD,O,IN,for,NNS,pounds
pounds,NNS,O,CD,"5,060",(,(
(,(,O,NNS,pounds,$,$
$,$,O,(,(,CD,"7,845"
"7,845",CD,O,$,$,),)
),),O,CD,"7,845",.,.
.,.,O,),),None,None
The,DT,O,None,None,NN,guitarist
guitarist,NN,O,DT,The,VBD,died
died,VBD,O,NN,guitarist,IN,of
of,IN,O,VBD,died,DT,a
a,DT,O,IN,of,NNS,drugs
drugs,NNS,O,DT,a,NN,overdose
overdose,NN,O,NNS,drugs,IN,in
in,IN,O,NN,overdose,CD,1970
1970,CD,O,IN,in,VBN,aged
aged,VBN,O,CD,1970,CD,27
27,CD,O,VBN,aged,.,.
.,.,O,CD,27,None,None
-DOCSTART-,-X-,O,-X-,-DOCSTART-,None,None
China,NNP,I-LOC,None,None,VBZ,says
